experiment,retriever,ranker,loss_family,recall@100,recall@200,ndcg@5,mrr@5,map@5,recall@5,ndcg@10,mrr@10,map@10,recall@10,ndcg@20,mrr@20,map@20,recall@20
als_lambdamart,als,lambdamart,-,0.3175787728026534,0.42454394693200664,0.43734244972940306,0.5119679380873411,0.3546849087893864,0.511608623548922,0.5089308466566107,0.530932638395325,0.3933105635841954,0.6923714759535655,0.5531077704964589,0.5371676758182696,0.40994953771598797,0.8349917081260365
two_tower_lambdamart,two_tower,lambdamart,-,0.33167495854063017,0.4552238805970149,0.4415787115100599,0.4956605859590934,0.355375898286346,0.5373134328358209,0.5048102551616408,0.5129247940193215,0.38973255416041486,0.6956882255389718,0.5506349768558639,0.5185499411018488,0.4077199723088892,0.8424543946932007
two_tower_neural:listnet,two_tower,neural:listnet,listwise,0.33167495854063017,0.4552238805970149,0.38677309324739056,0.4475400773908237,0.3091487009397457,0.4635157545605307,0.45383981890687275,0.4674991444891943,0.34491793677117055,0.6310116086235489,0.5005597018048639,0.47485580535250915,0.36231349169647226,0.7810945273631841
two_tower_neural:listmle,two_tower,neural:listmle,listwise,0.33167495854063017,0.4552238805970149,0.3843543129518006,0.43208955223880596,0.3061221669430625,0.47180762852404645,0.4449760521674062,0.4497203137750401,0.3385555687172602,0.6235489220563848,0.4898184547073371,0.457398904438667,0.354896218139695,0.7678275290215588
two_tower_neural:bpr,two_tower,neural:bpr,pairwise,0.33167495854063017,0.4552238805970149,0.3745349661467947,0.4231896075179657,0.29398839137645105,0.4660033167495854,0.43953204519008976,0.4428420068967332,0.32810122667087843,0.6293532338308457,0.4907663525045452,0.45091342970811726,0.34706748904615997,0.7943615257048093
two_tower_neural:ranknet,two_tower,neural:ranknet,pairwise,0.33167495854063017,0.4552238805970149,0.3629090519660119,0.41467661691542285,0.284093421779989,0.44859038142620233,0.43391011372063876,0.4355300218484298,0.3214397588775698,0.6276948590381426,0.4821946020900414,0.4427982263477773,0.33960656126019323,0.7827529021558872
